Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
"Podiatry, Board of",Erin Nelson,Ames,STORY,Licensed Podiatrist,2015-05-01,2018-04-30,Female,None,A
"Podiatry, Board of",Donald Shurr,NORTH LIBERTY,JOHNSON,"Licensed to practice orthotics, prosthetics or pedorthics",2015-05-01,2018-04-30,Male,Rep,A
"Podiatry, Board of",Travis Carlson,HIAWATHA,LINN,"Licensed to practice orthotics, prosthetics or pedorthics",2015-05-01,2018-04-30,Male,None,A
"Podiatry, Board of",Eugene Nassif,Cedar Rapids,LINN,Licensed Podiatrist,2016-06-23,2019-04-30,Male,Rep,A
"Podiatry, Board of",Mindy Trotter,Le Claire,SCOTT,Licensed Podiatrist,2016-06-23,2019-04-30,Female,Rep,A
Preserves Advisory Board,Vacant,,,,2007-07-01,2010-06-30,Female,None,V
Preserves Advisory Board,Loren Christensen,Elk Horn,SHELBY,,2014-07-01,2017-06-30,Male,Rep,A
Preserves Advisory Board,Wayne Phipps,Jefferson,GREENE,,2014-07-01,2017-06-30,Male,Rep,A
Preserves Advisory Board,Leesa McNeil,Sioux City,PLYMOUTH,,2015-07-01,2018-06-30,Female,Rep,A
Preserves Advisory Board,Kirk Larsen,Decorah,WINNESHIEK,,2015-07-01,2018-06-30,Male,None,A
Preserves Advisory Board,Barbara Schroeder,Decorah,WINNESHIEK,,2016-07-01,2019-06-30,Female,Dem,A
Prevention of Disabilities Advisory Council,Vacant,,,Persons W/disabilities,2009-05-01,2012-04-30,Male,Dem,V
Prevention of Disabilities Advisory Council,Vacant,,,Expert In Priority Prevention,2010-05-01,2013-04-30,Male,Dem,V
Prevention of Disabilities Advisory Council,Vacant,,,Expert In Priority Prevention,2010-05-01,2013-04-30,Male,Dem,V
Prevention of Disabilities Advisory Council,Vacant,,,Provider Prevention Service,2010-05-01,2013-04-30,Female,Rep,V
Prevention of Disabilities Advisory Council,Gary McDermott ,Clinton,CLINTON,PWD,2014-05-01,2017-04-30,Male,None,A
Prevention of Disabilities Advisory Council,Craig Cretsinger,Spencer,CLAY,Family Member of PWD,2014-05-01,2017-04-30,Male,Rep,A
Prevention of Disabilities Advisory Council,Christopher Atchison,IOWA CITY,JOHNSON,Expert In Priority Prevention,2015-05-01,2018-04-30,Male,Rep,A
Prevention of Disabilities Advisory Council,Tracy Keninger,Des Moines,POLK,Provider Prevention Service,2015-05-01,2018-04-30,Female,Dem,A
Prevention of Disabilities Advisory Council,Cheryll Jones,BLOOMFIELD,DAVIS,Provider Prevention Services,2015-05-01,2018-04-30,Female,Dem,A
Prison Industries Advisory Board,Yvonne Winther,Waterloo,BLACK HAWK,Labor,2013-07-01,2017-06-30,Female,Dem,A
Prison Industries Advisory Board,Jennifer Gardner,Douds,VAN BUREN,Ag Industry,2013-07-01,2017-06-30,Female,Rep,A
Prison Industries Advisory Board,Terry Goodman,AMES,STORY,Manufacturing,2015-07-01,2019-06-30,Male,Rep,A
Prison Industries Advisory Board,"Arthur ""Doug"" Hillman",WEST DES MOINES,POLK,Financial Industry,2015-07-01,2019-06-30,Male,Rep,A
Prison Industries Advisory Board,Jennifer Foster,Des Moines,POLK,Voc Tech,2015-07-16,2019-06-30,Female,Dem,A
Property Assessment Appeal Board,Stewart Iverson,Clarion,WRIGHT,Finance- Local Taxation,2013-01-04,2017-04-30,Male,Rep,A
Property Assessment Appeal Board,Stewart Iverson,Clarion,WRIGHT,Chair,2015-05-01,2017-04-30,Male,Rep,A
Property Assessment Appeal Board,Camille Valley,Johnston,POLK,Attorney,2016-08-26,2019-04-30,Female,None,A
Property Assessment Appeal Board,Karen Oberman,Clive,DALLAS,Real Estate Appraiser,2015-05-01,2021-04-30,Female,Rep,A
"Psychology, Board of",Vacant,,,Licensed Pyschologist - Teaching Graduate,2010-05-01,2013-04-30,Female,Dem,V
"Psychology, Board of",Vacant,,,Public Member,2010-05-01,2013-04-30,Male,Dem,V
"Psychology, Board of",Earl Kilgore,Cummin,WARREN,Licensed Psychologist - Services,2016-05-01,2017-04-30,Male,Dem,A
"Psychology, Board of",Heidi Vermeer-Quist,URBANDALE,POLK,Licensed Psychologist-services,2014-05-01,2017-04-30,Female,Rep,A
"Psychology, Board of",Sarah Henderson,CEDAR RAPIDS,LINN,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Psychology, Board of",Matthew Cooper,West Des Moines,DALLAS,Lic. Psychologist-applied,2015-05-01,2018-04-30,Male,None,A
"Psychology, Board of",Brandon Davis,GRINNELL,POWESHIEK,Lic. Psychologist-services,2015-05-01,2018-04-30,Male,None,A
"Public Broadcasting Board, Iowa",Kelli Grubbs,Davenport,SCOTT,Public,2014-07-01,2017-06-30,Female,Rep,A
"Public Broadcasting Board, Iowa",Courtney Greene,West Des Moines,POLK,Commercial Broadcasting,2014-07-01,2017-06-30,Female,None,A
"Public Broadcasting Board, Iowa",kevin krause,west des moines,IOWA,Nonprofit Fund Raising,2015-07-01,2018-06-30,Male,None,A
"Public Broadcasting Board, Iowa",Jason Giles,Urbandale,DALLAS,Business,2016-07-01,2019-06-30,Male,Rep,A
Public Employment Relations Board,Mike Cormack,Des Moines,POLK,Member - Chair,2014-05-01,2018-04-30,Male,Rep,A
Public Employment Relations Board,James Van Fossen,Ankeny,POLK,Member,2016-05-01,2020-04-30,Male,Rep,A
Public Employment Relations Board,Mary Gannon,Des Moines,POLK,Member,2016-05-01,2020-04-30,Female,Dem,A
"Public Information Board, Iowa",Keith Luchtel,Clive,POLK,Media,2016-06-06,2018-04-30,Male,Rep,A
"Public Information Board, Iowa",Suzan Stewart,Sioux City,WOODBURY,Public Member,2014-05-01,2018-04-30,Female,Rep,A
"Public Information Board, Iowa",Jo Martin,SPIRIT LAKE,DICKINSON,Media,2014-05-01,2018-04-30,Female,Dem,A
"Public Information Board, Iowa",Anthony Gaughan,WEST DES MOINES,DALLAS,Public Member,2014-05-01,2018-04-30,Male,None,A
"Public Information Board, Iowa",Gary Mohr,BETTENDORF,SCOTT,Political Subdivision,2014-05-01,2018-04-30,Male,Rep,A
"Public Information Board, Iowa",Renee Twedt,Story City,STORY,Political Subdivision,2016-09-15,2020-04-30,Female,Rep,A
"Public Information Board, Iowa",William Peard,Waukee,DALLAS,Political Subdivision,2016-07-01,2020-04-30,Male,Dem,A
"Public Information Board, Iowa",Mary Ungs-Sogaard,Dyersville,IOWA,Media,2016-09-15,2020-04-30,Female,Dem,A
"Public Information Board, Iowa",Andy McKean,Anamosa,JONES,Public Member,2016-07-01,2020-04-30,Male,Rep,A
"Racing and Gaming Commission, State",Carl Heinrich,COUNCIL BLUFFS,POTTAWATTAMIE,Citizen Member,2014-05-01,2017-04-30,Male,Rep,A
"Racing and Gaming Commission, State",Jeffrey Lamberti,ANKENY,POLK,Citizen Member,2014-05-01,2017-04-30,Male,Rep,A
"Racing and Gaming Commission, State",Kristine Kramer,NEW HAMPTON,CHICKASAW,Citizen Member,2015-05-01,2018-04-30,Female,Dem,A
"Racing and Gaming Commission, State",Dolores Mertz,ALGONA,KOSSUTH,Citizen Member,2015-05-01,2018-04-30,Female,Dem,A
"Racing and Gaming Commission, State",Richard Arnold,Russell,LUCAS,Citizen Member,2016-05-01,2019-04-30,Male,Rep,A
Real Estate Appraiser Examining Board,Vacant,,,Public Member,2009-05-01,2012-04-30,Male,Dem,V
Real Estate Appraiser Examining Board,Caryl Swaim,WEST DES MOINES,POLK,Certified Appraiser,2014-05-01,2017-04-30,Female,Rep,A
Real Estate Appraiser Examining Board,Gene Nelsen,JOHNSTON,POLK,Certified Appraiser,2014-05-01,2017-04-30,Male,Rep,A
Real Estate Appraiser Examining Board,Joan Scotter,MARION,LINN,Public Member,2015-05-01,2018-04-30,Female,Rep,A
Real Estate Appraiser Examining Board,Amanda Luscombe,HOLSTEIN,IDA,Certified Appraiser,2015-05-01,2018-04-30,Female,Rep,A
Real Estate Appraiser Examining Board,"Vernon ""Fred"" Greder",MASON CITY,CERRO GORDO,Certified Appraiser,2016-05-01,2019-04-30,Male,None,A
Real Estate Appraiser Examining Board,Robert Felderman,Dubuque,IOWA,Certified Appraiser,2016-05-01,2019-04-30,Male,None,A
Real Estate Commission,Vacant,,,Public Member,2009-05-01,2012-04-30,Female,None,V
Real Estate Commission,Janet DeMott,Bedford,TAYLOR,Real Estate Salesperson,2014-05-01,2017-04-30,Female,Rep,A
Real Estate Commission,Helen Kimes,Osceola,CLARKE,Real Estate Broker,2014-05-01,2017-04-30,Female,Rep,A
Real Estate Commission,John Goede,Spencer,CLAY,Real Estate Salesperson,2014-05-01,2017-04-30,Male,Dem,A
Real Estate Commission,Michael Telford,DALLAS CENTER,DALLAS,Public Member,2014-05-01,2017-04-30,Male,None,A
Real Estate Commission,Terry Duggan,DUBUQUE,DUBUQUE,Real Estate Broker,2015-05-01,2018-04-30,Male,Rep,A
Real Estate Commission,Dennis Stolk,Bettendorf,SCOTT,Real Estate Broker,2016-05-01,2019-04-30,Male,Rep,A
"Regents, State Board of",Kathleen Mulholland,MARION,LINN,Citizen Member,2011-05-01,2017-04-30,Female,Dem,A
"Regents, State Board of",Sherry Bates,Scranton,GREENE,Citizen Member,2014-12-22,2017-04-30,Female,None,A
"Regents, State Board of",Bruce Rastetter,HUBBARD,HARDIN,Citizen Member,2011-05-01,2017-04-30,Male,Rep,A
"Regents, State Board of",Milt Dakovich,Waterloo,BLACK HAWK,Citizen Member,2013-06-04,2019-04-30,Male,Rep,A
"Regents, State Board of",Subhash Sahai,WEBSTER CITY,HAMILTON,Citizen Member,2013-05-01,2019-04-30,Male,None,A
"Regents, State Board of",Larry McKibben,MARSHALLTOWN,MARSHALL,Citizen Member,2013-06-04,2019-04-30,Male,Rep,A
"Regents, State Board of",Michael Richards,West Des Moines,POLK,Citizen Member,2016-05-06,2021-04-30,Male,Rep,A
"Regents, State Board of",Rachael Johnson,Sioux City,WOODBURY,Student Member,2015-05-01,2021-04-30,Female,None,A
"Regents, State Board of",Patricia Cownie,Des Moines,POLK,Citizen Member,2015-05-01,2021-04-30,Female,Rep,A
Renewable Fuel Infrastructure Board,Vacant,,,Agribusiness,2007-06-22,2011-04-30,Female,Dem,V
Renewable Fuel Infrastructure Board,Mark Cobb,Brighton,WASHINGTON,Iowa Biodiesel Board,2015-05-01,2019-04-30,Male,Rep,A
Renewable Fuel Infrastructure Board,Douglas Thompson,Kanawha,HANCOCK,Iowa Farm Bureau,2014-05-01,2019-04-30,Male,Dem,A
Renewable Fuel Infrastructure Board,Brian Wiegert,Winterset,MADISON,Insurer Knowledgeable,2014-05-01,2019-04-30,Male,Rep,A
Renewable Fuel Infrastructure Board,Carol Balvanz,HUBBARD,HARDIN,Iowa Soybean Assc.,2015-05-01,2020-04-30,Female,Dem,A
Renewable Fuel Infrastructure Board,John Maynes,Norwalk,WARREN,Petrol Marketers & Cven. Store,2015-05-01,2020-04-30,Male,None,A
Renewable Fuel Infrastructure Board,Jennifer Carpenter,Urbandale,DALLAS,IA Petrol Equip. Assoc.,2016-08-25,2020-04-30,Female,None,A
Renewable Fuel Infrastructure Board,Diane Dennler,Mason City,CERRO GORDO,Renewable Fuels Assc.,2015-05-01,2020-04-30,Female,Rep,A
Renewable Fuel Infrastructure Board,Eric Seuren,WEST DES MOINES,POLK,Petroleum Industry Rep.,2016-05-01,2021-04-30,Male,Rep,A
Renewable Fuel Infrastructure Board,Kelly Nieuwenhuis,Primghar,OBRIEN,IA Corn Growers Association,2016-05-01,2021-04-30,Male,Rep,A
Renewable Fuel Infrastructure Board,Niki DePhillips,Waukee,DALLAS,IA Grocery Industry Assoc.,2016-05-01,2021-04-30,Female,Rep,A
Respiratory Care Board of,Gregory Hicklin,Urbandale,POLK,Licensed Respiratory Care Physician,2014-05-01,2017-04-30,Male,None,A
Respiratory Care Board of,Erik Olesen,Mingo,JASPER,Licensed Respiratory Care Practioner,2014-05-01,2017-04-30,Male,Rep,A
Respiratory Care Board of,Kathleen Parris,Audubon,AUDUBON,Public Member,2015-05-01,2018-04-30,Female,Rep,A
Respiratory Care Board of,Lisa Kingery,CASEY,GUTHRIE,Licensed Respiratory Care Practioner,2015-05-01,2018-04-30,Female,None,A
Respiratory Care Board of,Brandon Butters,Ankeny,POLK,Licensed Respiratory Care Practioner,2016-05-01,2019-04-30,Male,Rep,A
Rural Health and Primary Care Advisory Committee,Vacant,,,Farm Organization Rep,2011-07-01,2013-06-30,Male,Rep,V
Rural Health and Primary Care Advisory Committee,Vacant,,,Physician Assistant,2012-07-01,2014-06-30,Male,None,V
Rural Health and Primary Care Advisory Committee,Vacant,,,Farm Organization Rep,2012-07-01,2014-06-30,Female,Rep,V
Rural Health and Primary Care Advisory Committee,Mark Feldkamp,Waterloo,BLACK HAWK,Rural Physician,2015-10-01,2017-06-30,Male,Dem,A
Rural Health and Primary Care Advisory Committee,Denise Janssen,Bloomfield,DAVIS,Rural Health Practitioner,2015-07-01,2017-06-30,Female,Rep,A
Rural Health and Primary Care Advisory Committee,Jon-Michael Rosmann,Polk City,POLK,Consumer Group,2015-07-01,2017-06-30,Male,Dem,A
Rural Health and Primary Care Advisory Committee,Sheila Frink,Martelle,JONES,Consumer Group Ems,2015-10-01,2017-06-30,Female,Dem,A
Rural Health and Primary Care Advisory Committee,Jeff Sisul,Oskaloosa,MAHASKA,Critical Needs Hospital,2016-07-01,2018-06-30,Male,None,A
Rural Health and Primary Care Advisory Committee,Rusell Davis,NEMAHA,SAC,Rep. of Ag. Business,2016-07-01,2018-06-30,Male,Rep,A
Rural Health and Primary Care Advisory Committee,Patrick Pucelik,Harlan,SHELBY,Nurse Practitioner,2016-07-01,2018-06-30,Male,Rep,A
School Budget Review Committee,Keith England,Hubbard,HARDIN,Public Member,2014-05-01,2017-04-30,Male,Rep,A
School Budget Review Committee,Gretchen Tegeler,WEST DES MOINES,POLK,Public Member,2015-05-01,2018-04-30,Female,Rep,A
School Budget Review Committee,Leland Tack,Johnston,POLK,Public Member,2016-05-01,2019-04-30,Male,Dem,A
School Budget Review Committee,Gina Primmer,Council Bluffs,POTTAWATTAMIE,Public Member,2016-05-01,2019-04-30,Female,Dem,A
"Sign Language Interpreters and Transliterators, Board of",Vacant,,,Licensed Interpreter,2013-05-01,2016-04-30,Male,Rep,V
"Sign Language Interpreters and Transliterators, Board of",Brent Welsch,COUNCIL BLUFFS,POTTAWATTAMIE,Consumer of Services- Deaf,2014-05-01,2017-04-30,Male,Dem,A
"Sign Language Interpreters and Transliterators, Board of",Cindy Crawford,PLEASANTVILLE,MARION,Licensed Interpreter,2014-05-01,2017-04-30,Female,Rep,A
"Sign Language Interpreters and Transliterators, Board of",Tailyn Kaster,West Des Moines,POLK,Licensed Interpreter,2015-05-01,2018-04-30,Female,None,A
"Sign Language Interpreters and Transliterators, Board of",Michael B Ballard,Boone,IOWA,Consumer of Services- Deaf,2016-05-01,2018-04-30,Male,Rep,A
"Sign Language Interpreters and Transliterators, Board of",Stephanie Lyons,ANKENY,POLK,Consumer of Services- Deaf,2015-05-01,2018-04-30,Female,Dem,A
"Sign Language Interpreters and Transliterators, Board of",Susan Tyrrell,Cedar Rapids,IOWA,Licensed Interpreter,2016-05-01,2019-04-30,Female,Rep,A
"Social Work, Board of",Vacant,,,Licensed Independent Social Work,2010-05-01,2013-04-30,Female,Dem,V
"Social Work, Board of",Mark Hudson,MARION,LINN,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Social Work, Board of",Karilynne Lenning,West Des Moines,POLK,Licensed Bachelor of Social Worker,2014-11-20,2017-04-30,Female,None,A
"Social Work, Board of",Mark Hillenbrand,West Des Moines,POLK,Licensed Master of Social Work,2015-05-01,2018-04-30,Male,Rep,A
"Social Work, Board of",Neil Nelsen,INDIANOLA,WARREN,Public Member,2015-05-01,2018-04-30,Male,Rep,A
"Social Work, Board of",Amy Courneya,Ames,STORY,Licensed Independent Social Work,2016-05-01,2019-04-30,Female,None,A
"Social Work, Board of",Jody Weigel,Hiawatha,LINN,Licensed Master of Social Work,2016-05-01,2019-04-30,Male,Dem,A
"Soil Conservation Committee, State",Dale Farnham,AMES,STORY,City,2011-05-01,2017-04-30,Male,Rep,A
"Soil Conservation Committee, State",Charles McCullough,BERNARD,DUBUQUE,Farmer Ne,2011-05-01,2017-04-30,Male,Dem,A
"Soil Conservation Committee, State",Sharon Krause,Waukee,DALLAS,Farmer Sc,2015-04-14,2017-04-30,Female,Rep,A
"Soil Conservation Committee, State",Susan Vance Hjelm,LAKE PARK,DICKINSON,Farmer Nw,2013-05-01,2019-04-30,Female,Rep,A
"Soil Conservation Committee, State",Paula Ellis,Donnellson,LEE,Farmer Se,2013-05-01,2019-04-30,Female,Rep,A
"Soil Conservation Committee, State",Kevin Pope,Mason City,CERRO GORDO,Farmer Nc,2015-05-01,2021-04-30,Male,None,A
"Soil Conservation Committee, State",Sherman Lundy,Cedar Falls,BLACK HAWK,Mining Industry,2015-05-01,2021-04-30,Male,Rep,A
"Soil Conservation Committee, State",Linda Querry,Red Oak,MONTGOMERY,Farmer Sw,2015-05-01,2021-04-30,Female,Dem,A
"Soil Conservation Committee, State",Dennis Carlson,Hampton,FRANKLIN,Tree Farmer,2016-05-01,2022-04-30,Male,Dem,A
"Speech Pathology and Audiology, Board of",Vacant,,,Public Member,2009-05-01,2012-04-30,Male,None,V
"Speech Pathology and Audiology, Board of",Vacant,,,Licensed Audiologist,2010-05-01,2013-04-30,Male,Rep,V
"Speech Pathology and Audiology, Board of",Alison Lemke,NEWTON,JASPER,Licensed Pathologist,2014-05-01,2017-04-30,Female,Dem,A
"Speech Pathology and Audiology, Board of",Ryan Austin,WINDSOR HEIGHTS,POLK,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Speech Pathology and Audiology, Board of",Michael Tysklind,West Des Moines,DALLAS,Audiologist,2015-05-01,2018-04-30,Male,Rep,A
"Speech Pathology and Audiology, Board of",Denise Renaud,IOWA FALLS,FRANKLIN,Licensed Pathologist,2015-10-18,2018-10-17,Female,None,A
"Speech Pathology and Audiology, Board of",Diana Hanson,Johnston,POLK,Licensed Audiologist,2016-05-01,2019-04-30,Female,Rep,A
"Status of Women, Commission on the",Phyllis Peters,Ames,STORY,Member,2014-05-01,2018-04-30,Female,Dem,A
"Status of Women, Commission on the",Thomas Carnahan,Davenport,SCOTT,Member,2014-05-01,2018-04-30,Male,Rep,A
"Status of Women, Commission on the",Sherill Whisenand,DES MOINES,POLK,Member,2014-05-01,2018-04-30,Female,Rep,A
"Status of Women, Commission on the",Rachelle Hunt Russian,Des Moines,POLK,Member,2014-05-01,2018-04-30,Female,None,A
"Status of Women, Commission on the",David Gudenkauf,CASCADE,DUBUQUE,Member,2016-05-01,2020-04-30,Male,None,A
"Status of Women, Commission on the",Sean Bagniewski,Des Moines,POLK,Member,2016-05-01,2020-04-30,Male,Dem,A
"Status of Women, Commission on the",Elizabeth Coonan,DES MOINES,POLK,Member,2016-05-01,2020-04-30,Female,Rep,A
"STEM Advisory Board, North Central Regional",David Barajas,Marshalltown,MARSHALL,"Local Government (e.g., elected official)",2014-07-22,2017-06-30,Male,Dem,A
"STEM Advisory Board, North Central Regional",Jan Westrum,Boone,BOONE,K-12 Student/Parent,2014-07-01,2017-06-30,Female,None,A
"STEM Advisory Board, North Central Regional",Robin Anderson,Mason City,CERRO GORDO,Business/Industry,2014-07-01,2017-06-30,Female,Rep,A
"STEM Advisory Board, North Central Regional",Paul Bartelt,FOREST CITY,WINNEBAGO,Private College/University,2014-07-01,2017-06-30,Male,Dem,A
"STEM Advisory Board, North Central Regional",Douglas Jacobson,Ames,STORY,Public University,2014-07-01,2017-06-30,Male,Rep,A
"STEM Advisory Board, North Central Regional",Richard Ritter III,Marshalltown,IOWA,Business,2015-07-01,2018-06-30,Male,Rep,A
"STEM Advisory Board, North Central Regional",Emily Banks,McCallsburg,STORY,STEM Teacher,2015-07-01,2018-06-30,Female,None,A
"STEM Advisory Board, North Central Regional",Camille Sloan Schroeder,Boone,BOONE,School Board Member,2015-07-01,2018-06-30,Female,None,A
"STEM Advisory Board, North Central Regional",Jose Amaya,Ames,STORY,Teacher/Professor,2015-07-01,2018-06-30,Male,Dem,A
"STEM Advisory Board, North Central Regional",John Bonner,Vincent,IOWA,Business,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, North Central Regional",Rich Wrage,BOONE,BOONE,County Extension and Outreach,2016-07-01,2019-06-30,Male,Rep,A
"STEM Advisory Board, North Central Regional",Corey Rogers,Waterloo,BLACK HAWK,Area Education Agency,2016-07-01,2019-06-30,Female,Dem,A
"STEM Advisory Board, North Central Regional",Sarah Rosenblum,Marshalltown,MARSHALL,Nonprofit/informal learning centers,2016-07-01,2019-06-30,Female,Dem,A
"STEM Advisory Board, North Central Regional",Kathy Rogotzke,Charles City,FLOYD,Community College,2016-07-01,2019-06-30,Female,Dem,A
"STEM Advisory Board, North Central Regional",Ben Petty,Conrad,GRUNDY,Economic Development/Chamber of Commerce,2016-07-01,2019-06-30,Male,Dem,A
"STEM Advisory Board, Northeast Regional",William Holland,Decorah,IOWA,Business,2015-07-01,2017-06-30,Male,Rep,A
"STEM Advisory Board, Northeast Regional",Mason Kuhn,Cedar Falls,BLACK HAWK,K-12 Student/Parent,2014-07-01,2017-06-30,Male,None,A
"STEM Advisory Board, Northeast Regional",Scott Greenhalgh,New Hartford,IOWA,Public University,2014-07-01,2017-06-30,Male,None,A
"STEM Advisory Board, Northeast Regional",Norma Thiese,Guttenberg,CLAYTON,Library,2015-07-01,2018-06-30,Female,Rep,A
"STEM Advisory Board, Northeast Regional",Marcia Powell,Strawberry Point,CLAYTON,STEM Teacher,2015-07-01,2018-06-30,Female,Dem,A
"STEM Advisory Board, Northeast Regional",Scott Fortune,CRESCO,HOWARD,School Board Member,2015-07-01,2018-06-30,Male,Dem,A
"STEM Advisory Board, Northeast Regional",Kelly Cooper,Dubuque,IOWA,Regional Workforce Development,2015-07-01,2018-06-30,Female,Dem,A
"STEM Advisory Board, Northeast Regional",Chad Heinzel,Reinbeck,TAMA,Hub Institution Rep,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, Northeast Regional",Kendra Crooks,New Hampton,CHICKASAW,County Extension and Outreach,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Northeast Regional",Jason Martin-Hiner,Strawberry Point,CLAYTON,Area Education Agency,2016-07-01,2019-06-30,Male,Dem,A
"STEM Advisory Board, Northeast Regional",Kim Miller,Janesville,BREMER,Business/Industry,2016-07-01,2019-06-30,Male,Rep,A
"STEM Advisory Board, Northeast Regional",Erin Dragotto,Dubuque,IOWA,Nonprofit/informal learning centers,2016-07-01,2019-06-30,Female,Dem,A
"STEM Advisory Board, Northeast Regional",Sue Burrack,Arlington,FAYETTE,Private College/University,2016-07-01,2019-06-30,Female,Rep,A
"STEM Advisory Board, Northeast Regional",Jane Bradley,Waterloo,BLACK HAWK,Community College,2016-07-01,2019-06-30,Female,Dem,A
"STEM Advisory Board, Northeast Regional",Ellen Heuer,Waterloo,BLACK HAWK,Economic Development/Chamber of Commerce,2016-07-01,2019-06-30,Female,Rep,A
"STEM Advisory Board, Northwest Regional",Vacant,,,Economic Development/Chamber of Commerce,2012-07-01,2013-06-30,,,V
"STEM Advisory Board, Northwest Regional",Vacant,,,Business/Industry,2012-07-01,2014-06-30,,,V
"STEM Advisory Board, Northwest Regional",Nancy McDowell,Sheldon,OBRIEN,"Local Government (e.g., elected official)",2014-07-01,2017-06-30,Female,Rep,A
"STEM Advisory Board, Northwest Regional",Mary Trent,Carroll,CARROLL,K-12 Student/Parent,2014-07-01,2017-06-30,Female,Dem,A
"STEM Advisory Board, Northwest Regional",Jasper Lesage,Sioux Center,SIOUX,Private College/University,2014-07-01,2017-06-30,Male,None,A
"STEM Advisory Board, Northwest Regional",Sherry McGill,Sergeant Bluff,WOODBURY,Public University,2014-07-01,2017-06-30,Female,Dem,A
"STEM Advisory Board, Northwest Regional",Kathleen Bottaro,Sioux City,WOODBURY,Library,2015-07-01,2018-06-30,Female,Dem,A
"STEM Advisory Board, Northwest Regional",John Bedward,Storm Lake,IOWA,STEM Teacher,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, Northwest Regional",Derek Brower,Orange City,SIOUX,Teacher/Professor,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, Northwest Regional",Linda Gray,EVERLY,CLAY,Regional Workforce Development,2015-07-01,2018-06-30,Female,None,A
"STEM Advisory Board, Northwest Regional",Eric Forseth,Sioux Center,TAYLOR,Hub Institution Rep,2015-08-06,2018-06-30,Male,Rep,A
"STEM Advisory Board, Northwest Regional",Beth Bunkers,Primghar,OBRIEN,County Extension and Outreach,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Northwest Regional",Teresa Alesch,Emmetsburg,PALO ALTO,Area Education Agency,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Northwest Regional",Wade Weber,Spirit Lake,DICKINSON,Nonprofit/informal learning centers,2016-07-01,2019-06-30,Male,Rep,A
"STEM Advisory Board, Northwest Regional",Mark Zabawa,Emmetsburg,PALO ALTO,Community College,2016-07-01,2019-06-30,Male,None,A
"STEM Advisory Board, South Central Regional",Vacant,,,Area Education Agency,2012-07-01,2013-06-30,,,V
"STEM Advisory Board, South Central Regional",Katherine Harrington,West Des Moines,POLK,Business/Industry,2014-07-01,2017-06-30,Female,Rep,A
"STEM Advisory Board, South Central Regional",Kimberly Wayne,DES MOINES,POLK,Business/Industry,2014-07-01,2017-06-30,Female,None,A
"STEM Advisory Board, South Central Regional",Jack Gittinger,Norwalk,WARREN,Private College/University,2015-02-16,2017-06-30,Male,Dem,A
"STEM Advisory Board, South Central Regional",John Chai,Norwalk,WARREN,STEM Teacher,2014-07-01,2017-06-30,Male,Dem,A
"STEM Advisory Board, South Central Regional",Mary Lee Madison,West Des Moins,POLK,Non-Profit,2014-08-29,2017-06-30,Female,Dem,A
"STEM Advisory Board, South Central Regional",Amber Pargmann,Ottumwa,WAPELLO,Business,2015-08-06,2018-06-30,Female,None,A
"STEM Advisory Board, South Central Regional",Stephen Sieck,Grinnell,POWESHIEK,STEM Teacher,2015-07-01,2018-06-30,Male,Dem,A
"STEM Advisory Board, South Central Regional",Robert Volp,West Des Moines,POLK,Business,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, South Central Regional",Mary Bontrager,CUMMING,MADISON,Regional Workforce Development,2015-07-01,2018-06-30,Female,Rep,A
"STEM Advisory Board, South Central Regional",John Arbuckle,Johnston,POLK,Business/Industry,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, South Central Regional",Stacey Singleton,Johnston,POLK,Business,2016-07-01,2019-06-30,Female,Rep,A
"STEM Advisory Board, South Central Regional",Karen Pattison,Garden Grove,DECATUR,County Extension and Outreach/Public University,2016-07-01,2019-06-30,Female,Dem,A
"STEM Advisory Board, South Central Regional",Becky Wigeland,Indianola,WARREN,Nonprofit/informal learning centers,2016-07-01,2019-06-30,Female,Rep,A
"STEM Advisory Board, South Central Regional",Kari Hensen,Ankeny,POLK,Community College,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Southeast Regional",Vacant,,,Business,2012-07-01,2015-06-30,,,V
"STEM Advisory Board, Southeast Regional",Craig Martinson,CENTRAL CITY,LINN,"Local Government (e.g., Elected Official)",2014-07-01,2017-06-30,Male,Dem,A
"STEM Advisory Board, Southeast Regional",Patrick Barnes,BETTENDORF,SCOTT,Business/Industry,2014-07-01,2017-06-30,Male,Rep,A
"STEM Advisory Board, Southeast Regional",Adriana DOnofrio,Cedar Rapids,LINN,Private College/University,2014-07-01,2017-06-30,Female,Dem,A
